Parte,Fecha_Inicio,Concejo,Localidad,Estado,IGP,Latitud,Longitud,Superficie
0739-27032026,31/03/2026 16:46,Cangas del Narcea,,Extinguido,,43.035276,-6.57251,
0486-01042026,01/04/2026 17:16,Cudillero,,Extinguido,,43.568551,-6.24822,
0868-01042026,01/04/2026 23:46,Gijón,,Extinguido,,43.538926,-5.66572,
0744-02042026,02/04/2026 17:31,Oviedo,,Extinguido,,43.35693,-5.87486,
0788-02042026,02/04/2026 18:16,Lena,,Extinguido,,43.160115,-5.82892,
0988-02042026,02/04/2026 21:16,Siero,,Extinguido,,43.381081,-5.7824,
0157-03042026,03/04/2026 8:01,Cangas del Narcea,SIERO,Extinguido,Moderado (1),43.082684,-6.47802,5
0418-03042026,03/04/2026 11:46,Tineo,ORDIAL DE LA BARCA,Extinguido,,43.325053,-6.35545,
0530-03042026,03/04/2026 13:16,Gijón,,Extinguido,,43.538926,-5.66572,
0648-03042026,03/04/2026 14:46,Oviedo,,Extinguido,,43.35693,-5.87486,
0685-03042026,03/04/2026 15:28,PILOÑA,PUENTE MIERA, PRAERES DE NAVA,Extinguido,,,,20
0948-03042026,03/04/2026 19:06,BELMONTE DE MIRANDA,SAN MARTIN DE ONDES,Extinguido,Bajo (0),43.291569,-5.42479,
0703-03042026,03/04/2026 15:51,PROAZA,LINARES,Extinguido,,,,
0757-03042026,03/04/2026 16:46,Degaña,CERREDO,Extinguido,Moderado (1),42.946692,-6.4896,1
0903-03042026,03/04/2026 18:42,LENA,PIÑERA / LA CRUZ,Extinguido,,,,
0795-03042026,03/04/2026 17:11,TEVERGA,SAN MARTIN,Extinguido,Bajo (0),,,
0910-03042026,03/04/2026 18:54,PILOÑA,MELARDE,Extinguido,Bajo (0),,,2
0953-03042026,03/04/2026 19:16,QUIRÓS,SALCEDO,Extinguido,,,,
1067-03042026,03/04/2026 21:04,PROAZA,SERANDI,Extinguido,,,,
1075-03042026,03/04/2026 21:16,Valderrey,,Extinguido,,,,
1122-03042026,03/04/2026 21:35,OVIEDO,TRUBIA,Extinguido,,,,
1106-03042026,03/04/2026 21:46,Villamanín,,Extinguido,,,,
0757-03/04/2026,03/04/2026 23:50,DEGAÑA,CERREDO, DETRAS DEL BARRIO LOS TACHO,Extinguido,Moderado (1),,,
0703-03042026,03/04/2026 1:53,Proaza,Linares,Extinguido,,,,
0534-04042026,04/04/2026 13:01,Lena,,Extinguido,,43.066665,-5.82184,
0602-04042026,04/04/2026 13:46,Piloña,CUERRIAS DE MAZA,Extinguido,,43.318018,-5.44366,
0571-04042026,04/04/2026 13:46,Siero,HEVIA,Extinguido,,43.35689,-5.70008,
0631-04042026,04/04/2026 14:16,Grado,TEJEDO,Extinguido,,43.296176,-6.15011,
0655-04042026,04/04/2026 14:31,Salas,TARANO,Extinguido,,43.434616,-6.25553,
0716-04042026,04/04/2026 15:31,Amieva,MOTA CETIN,Extinguido,,43.282495,-5.19473,
0799-04042026,04/04/2026 16:46,Regueras (Las),ARECES,Extinguido,,43.407096,-5.99625,4
0828-04042026,04/04/2026 17:01,Piloña,BIFORCOS,Extinguido,,43.31466,-5.32712,5
0847-04042026,04/04/2026 17:16,Sobrescobio,LADINES,Extinguido,Bajo (0),43.203479,-5.44478,0,5
1014-04042026,04/04/2026 19:46,Aller,LA CAMPUETA,Extinguido,Bajo (0),43.15177,-5.72693,
1061-04042026,04/04/2026 20:16,Proaza,LINARES,Extinguido,Bajo (0),43.280836,-6.02444,
1064-04042026,04/04/2026 20:16,Corvera de Asturias,MOCÍN,Extinguido,,43.528189,-5.88816,
1090-04042026,04/04/2026 20:46,Proaza,SERANDI POR ENCIMA DE BUYERA,Extinguido,,43.25597,-5.99375,
1145-04042026,04/04/2026 21:16,Piloña,MONES,Extinguido,,43.35966,-5.28617,
1153-04042026,04/04/2026 21:31,Proaza,VILLAMEJÍN,Extinguido,,43.239185,-6.01204,
1176-04042026,04/04/2026 21:47,Cabrales,ASIEGO,Extinguido,,43.324815,-4.88594,
1207-04042026,04/04/2026 22:16,Belmonte de Miranda,CASTAÑERA,Extinguido,,43.236232,-6.25103,
1217-04042026,04/04/2026 22:31,Aller,LLAMAS,Extinguido,,43.106219,-5.57262,
1234-04042026,04/04/2026 22:46,Siero,VIO, HUERGO, AGUDA, PINZALES,Extinguido,,43.44601,-5.73907,
0631-04042026,04/04/2026 23:40,GRADO,SANTIANES,Extinguido,,,,
1014-04042026,04/04/2026 1:49,ALLER,LA CAMPUETA,Extinguido,,,,
1207-04042026,05/04/2026 12:15,BELMONTE DE MIRANDA,CASTAÑERA,Extinguido,,,,45
0481-05042026,05/04/2026 12:46,Cabrales,CARREÑA,Extinguido,,43.316779,-4.84586,
0502-05042026,05/04/2026 13:16,Lena,OTERO,Extinguido,,43.05213,-5.86644,
0540-05042026,05/04/2026 13:46,Tineo,EL PEDREGAL,Extinguido,,43.372399,-6.36686,3
0569-05042026,05/04/2026 14:31,Peñamellera Alta,CARAVES,Extinguido,,43.316467,-4.72755,5
0681-05042026,05/04/2026 16:16,Riosa,,Extinguido,,43.222577,-5.88082,
0772-05042026,05/04/2026 17:31,Cabrales,,Extinguido,,43.233071,-4.74808,
0856-05042026,05/04/2026 18:31,Cangas del Narcea,,Extinguido,,43.200922,-6.61406,
0876-05042026,05/04/2026 18:46,OVIEDO,VILLAR,Extinguido,,43.408654,-6.94687,
0943-05042026,05/04/2026 20:01,Regueras (Las),ENTRE ANIA Y LAZANA,Extinguido,,43.404106,-5.96903,9
0964-05042026,05/04/2026 20:16,Lena,PAJARES,Extinguido,,43.031356,-5.78155,
1017-05042026,05/04/2026 21:16,Zaragoza,,Extinguido,,,,
1036-05042026,05/04/2026 21:31,Villamanín,,Extinguido,,,,
1054-05042026,05/04/2026 21:46,Piloña,COLLADA INCOSA,Extinguido,,43.31466,-5.32712,5
1065-05042026,05/04/2026 21:46,Belmonte de Miranda,TIBLÓS,Extinguido,,43.282569,-6.21837,
1090-05042026,05/04/2026 22:31,Onís,AVÍN,Extinguido,,43.334779,-4.95161,12
0010-06042026,06/04/2026 0:16,Grado,BUSTIELLO,Extinguido,,43.401071,-6.06965,
0014-06042026,06/04/2026 0:31,BELMONTE DE MIRANDA,SIERRA DEL PEDRORIO,Extinguido,,43.320529,-6.09706,400
0126-06042026,06/04/2026 7:01,Cangas del Narcea,Irrondo de Besullo,Extinguido,Moderado (1),,,
0160-06042026,06/04/2026 8:31,Amieva,SAN ROMÁN,Extinguido,,43.25703,-5.08901,
0238-06042026,06/04/2026 11:19,GRADO,LOREDO,Extinguido,Moderado (1),,,3
0268-06042026,06/04/2026 12:11,Cangas de Onís,Encima del pueblo de Tornín.,Extinguido,,,,
0309-06042026,06/04/2026 13:30,Illano,,Extinguido,,43.333253,-6.8648,
0377-06042026,06/04/2026 13:30,San Martín del Rey Aurelio,,Extinguido,,43.276878,-5.6079,
0315-06042026,06/04/2026 13:30,Allande,Almoño,Extinguido,,43.208217,-6.60039,50
0335-06042026,06/04/2026 13:30,Grado,El Fresno. ,Extinguido,,43.368885,-6.12361,
0403-06042026,06/04/2026 13:46,Grado,,Extinguido,,43.262478,-6.15677,
0482-06042026,06/04/2026 15:01,Ponga,TARANES,Extinguido,Bajo (0),43.200632,-5.21177,
0580-06042026,06/04/2026 16:46,Piloña,Motosa, entre Pico Felgueroso y Peña del Águila,Extinguido,Moderado (1),43.292566,-5.43169,40
0610-06042026,06/04/2026 17:16,San Martín de Oscos,RON,Extinguido,,43.277125,-6.94764,
0648-06042026,06/04/2026 17:46,Langreo,,Extinguido,,43.327541,-5.72948,
0701-06042026,06/04/2026 18:31,Tineo,Recta de la Vega. ,Extinguido,,43.339955,-6.4745,
0718-06042026,06/04/2026 19:01,Piloña,Cadapereda,Extinguido,,43.304146,-5.40271,
0728-06042026,06/04/2026 19:01,Allande,Lantigo,Extinguido,,43.239893,-6.61757,
0795-06042026,06/04/2026 20:31,Proaza,VILLAMEJIN,Extinguido,,43.239185,-6.01204,3
0824-06042026,06/04/2026 20:46,Cabrales,Ortiguero, Las Estazadas,Extinguido,Moderado (1),43.329304,-4.95847,
0818-06042026,06/04/2026 20:46,Belmonte de Miranda,CASTAÑERA,Extinguido,,43.294777,-6.22945,3
0836-06042026,06/04/2026 21:01,Piloña,COBAYAS,Extinguido,,43.318018,-5.44366,6
0846-06042026,06/04/2026 21:16,Ponga,TARANES, TÍATORDOS,Extinguido,,43.18103,-5.17371,
0849-06042026,06/04/2026 21:16,PILOÑA,LLAMES DE PARRES, EL PICO, TOSPE,Extinguido,Moderado (1),43.353885,-5.21549,15
0867-06042026,06/04/2026 21:31,Cangas del Narcea,Cubo Puerto,Extinguido,,43.201781,-6.6547,
